rri_chain,pdb_chain,SPOT-RNA,RNAfold,SPOT-RNAc,RNAcoFold,RNAmultifold,PairFold,MXfold2c,Ufoldc,SPOT-RNA2c,PETcoFold,SPOT-RNA2,EternaFoldc
5ZWM_FH,5ZWM_F,0.625,0.514,0.625,0.514,0.514,0.581,0.581,0.556,0.571,0,0.476,0.529
5ZWM_FH,5ZWM_H,0.643,0.812,0.723,0.812,0.812,0.812,0.812,0.686,0.783,0.11,0.827,0.773
5ZWM_FI,5ZWM_F,0.625,0.474,0.667,0.529,0.529,0.474,0.529,0.514,0.571,0,0.476,0.5
5ZWM_FI,5ZWM_I,0.756,0.894,0.7,0.894,0.894,0.87,0.87,0.875,0.898,0.432,0.842,0.875
5ZWM_GH,5ZWM_H,0.643,0.725,0.733,0.8,0.8,0.8,0.8,0.774,0.812,0.11,0.827,0.773
6AH0_FH,6AH0_F,0.556,1,0.923,1,1,1,1,1,0.933,0,0,0.609
6AH0_FH,6AH0_H,0.791,0.727,0.791,0.727,0.727,0.744,0.727,0.586,0.694,0.294,0.773,0.681
6AH0_FI,6AH0_F,0.556,0.7,0.833,0.7,0.7,0.737,0.7,1,0.778,0,0,0.7
6AH0_FI,6AH0_I,0.696,0.862,0.735,0.862,0.862,0.877,0.676,0.754,0.73,0.316,0.696,0.71
6AHD_GH,6AHD_G,0,0,0,0,0,0,0,0,0,0,0,0
6AHD_GH,6AHD_H,0.791,0.681,0.791,0.681,0.681,0.681,0.627,0.516,0.756,0.167,0.773,0.533
6EXN_26,6EXN_2,0.853,0.747,0.866,0.63,0.63,0.793,0.667,0.845,0.822,0,0.708,0.73
6EXN_26,6EXN_6,0.476,0.444,0.541,0.444,0.444,0.588,0.444,0.593,0.513,0,0.698,0.727
6EXN_2I,6EXN_2,0.853,0.651,0.841,0.605,0.605,0.8,0.757,0.759,0.8,0,0.708,0.554
6EXN_2I,6EXN_I,0,0,0,0,0,0,0,0,0,0,0,0
6FF4_2Z,6FF4_2,0.1,0.105,0.118,0,0,0,0.105,0.1,0.19,0,0.1,0.105
6J6G_BL,6J6G_L,0.699,0.636,0.673,0.651,0.651,0.639,0.651,0.683,0.766,0.176,0.768,0.705
6J6N_BL,6J6N_L,0.698,0.661,0.698,0.661,0.661,0.65,0.701,0.455,0.719,0.092,0.721,0.683
6O1O_MN,6O1O_M,0,0,0,0,0,0,0,0,0,0,0,0
6QDV_26,6QDV_2,0.706,0.688,0.783,0.688,0.688,0.727,0.696,0.431,0.844,0,0.522,0.757
6QDV_26,6QDV_6,0.323,0.645,0.48,0.645,0.645,0.483,0.75,0.571,0.625,0.714,0.303,0.69
6QDV_2I,6QDV_2,0.706,0.361,0.766,0.431,0.431,0.213,0.571,0.529,0.72,0,0.522,0.528
6QDV_2I,6QDV_I,0,0,0,0,0,0,0,0,0,0,0,0
6QX9_62,6QX9_2,0.773,0.552,0.756,0.217,0.217,0.217,0.78,0.667,0.643,0.345,0.773,0.756
6QX9_64,6QX9_4,0.643,0.455,0.642,0.462,0.462,0.517,0.526,0.62,0.548,0.391,0.586,0.508
6ZYM_2Y,6ZYM_Y,0,0,0,0,0,0,0,0,0,0,0,0
7ABI_62,7ABI_6,0.333,0.558,0.385,0.75,0.75,0.667,0.483,0.452,0.385,0.857,0.267,0.5
7ABI_62,7ABI_2,0.747,0.707,0.725,0.716,0.716,0.543,0.707,0.602,0.81,0,0.747,0.744
7B9V_26,7B9V_2,0.755,0.864,0.771,0.936,0.936,0.909,0.911,0.682,0.87,0,0.829,0.855
7B9V_26,7B9V_6,0.513,0.627,0.571,0.78,0.78,0.842,0.744,0.615,0.541,0.364,0.7,0.667
7DCO_FH,7DCO_F,0.513,0.588,0.571,0.732,0.732,0.789,0.6,0.526,0.541,0.294,0.769,0.625
7DCO_FH,7DCO_H,0.644,0.558,0.643,0.644,0.644,0.624,0.563,0.558,0.612,0.189,0.644,0.598
7DVQ_GH,7DVQ_G,0,0,0,0,0,0,0,0,0,0,0,0
7DVQ_GH,7DVQ_H,0.522,0.6,0.632,0.857,0.857,0.857,0.857,0.706,0.667,0.333,0.636,0.857
7OQB_I2,7OQB_2,0.769,0.773,0.795,0.773,0.773,0.764,0.747,0.791,0.783,0.131,0.796,0.764
